month,industry_large,industry_mid,region_sido,region_sigungu,corp_grade,export_amt,import_amt,company_id,net_exposure
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.15,0.0,co_a8f8c012d3,0.15
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.27,co_a8f8c012d3,-0.27
,건설업,종합 건설업,대구광역시,중구,최우수,0.0,0.01,co_573b2f777e,-0.01
,건설업,전문직별 공사업,대구광역시,중구,최우수,0.0,0.04,co_868612829c,-0.04
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.07,co_56de6f81fb,-0.07
,건설업,전문직별 공사업,서울특별시,서초구,우수,0.0,0.01,co_ad16fe0869,-0.01
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.04,co_8eada16556,-0.04
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.47,co_8eada16556,-0.47
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.02,co_39aea943e6,-0.02
,건설업,전문직별 공사업,경상북도,구미시,최우수,2.2,0.0,co_f999b11ebe,2.2
,건설업,종합 건설업,대구광역시,중구,최우수,0.0,0.01,co_573b2f777e,-0.01
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.03,co_456be85fe8,-0.03
,건설업,전문직별 공사업,경상북도,구미시,최우수,0.66,0.0,co_f999b11ebe,0.66
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.32,co_8eada16556,-0.32
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.26,co_8eada16556,-0.26
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.03,co_56de6f81fb,-0.03
,건설업,종합 건설업,대구광역시,수성구,최우수,0.0,0.03,co_f4498cb16e,-0.03
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.15,co_a8f8c012d3,-0.15
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.15,0.0,co_a8f8c012d3,0.15
,건설업,전문직별 공사업,경상북도,경산시,최우수,0.0,0.06,co_e046fbef20,-0.06
,건설업,전문직별 공사업,서울특별시,서초구,최우수,0.0,0.01,co_09719c0fc0,-0.01
,건설업,종합 건설업,대구광역시,중구,최우수,0.0,0.08,co_573b2f777e,-0.08
,건설업,전문직별 공사업,대구광역시,중구,최우수,0.0,0.04,co_868612829c,-0.04
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.15,co_a8f8c012d3,-0.15
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.15,co_8eada16556,-0.15
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.37,co_8eada16556,-0.37
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.04,co_39aea943e6,-0.04
,건설업,전문직별 공사업,경상북도,구미시,최우수,1.2,0.0,co_f999b11ebe,1.2
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.07,co_56de6f81fb,-0.07
,건설업,종합 건설업,경상북도,경주시,최우수,0.0,0.01,co_1040e34f2e,-0.01
,건설업,전문직별 공사업,경상북도,경산시,우수,0.0,0.01,co_cc667d1861,-0.01
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.37,co_8eada16556,-0.37
,건설업,전문직별 공사업,경상북도,구미시,일반,0.0,0.02,co_6d9fe1822d,-0.02
,건설업,전문직별 공사업,대구광역시,중구,최우수,0.0,0.12,co_868612829c,-0.12
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.15,co_a8f8c012d3,-0.15
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.17,0.0,co_a8f8c012d3,0.17
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.03,co_56de6f81fb,-0.03
,건설업,전문직별 공사업,서울특별시,서초구,최우수,0.0,0.02,co_09719c0fc0,-0.02
,건설업,종합 건설업,경상북도,성주군,최우수,0.11,0.0,co_94795ea922,0.11
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.03,co_39aea943e6,-0.03
,건설업,전문직별 공사업,경상북도,포항시 북구,최우수,0.87,0.0,co_c32509db0f,0.87
,건설업,종합 건설업,경상북도,경주시,최우수,0.0,0.02,co_1040e34f2e,-0.02
,건설업,전문직별 공사업,경상북도,구미시,일반,0.0,0.02,co_6d9fe1822d,-0.02
,건설업,종합 건설업,경상북도,경주시,최우수,0.0,0.01,co_1040e34f2e,-0.01
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.14,co_a8f8c012d3,-0.14
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.02,co_56de6f81fb,-0.02
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.3,co_8eada16556,-0.3
,건설업,전문직별 공사업,서울특별시,강남구,우수,0.0,0.69,co_55f17f7cad,-0.69
,건설업,종합 건설업,대구광역시,중구,최우수,0.0,0.16,co_573b2f777e,-0.16
,건설업,전문직별 공사업,서울특별시,서초구,최우수,0.0,0.08,co_09719c0fc0,-0.08
,건설업,전문직별 공사업,경상북도,경산시,우수,0.0,0.06,co_cc667d1861,-0.06
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.05,co_39aea943e6,-0.05
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.06,co_56de6f81fb,-0.06
,건설업,전문직별 공사업,경상북도,경산시,우수,0.0,0.04,co_cc667d1861,-0.04
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.01,co_8eada16556,-0.01
,건설업,전문직별 공사업,서울특별시,강남구,우수,0.0,0.18,co_55f17f7cad,-0.18
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.02,co_39aea943e6,-0.02
,건설업,전문직별 공사업,대구광역시,중구,최우수,0.0,0.13,co_868612829c,-0.13
,건설업,종합 건설업,대구광역시,남구,최우수,0.0,0.02,co_cead26d57e,-0.02
,건설업,전문직별 공사업,서울특별시,서초구,최우수,0.0,0.13,co_09719c0fc0,-0.13
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.17,co_a8f8c012d3,-0.17
,건설업,전문직별 공사업,서울특별시,강남구,일반,0.0,0.14,co_c37d8ee8ae,-0.14
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.05,co_8eada16556,-0.05
,건설업,종합 건설업,대구광역시,남구,최우수,0.0,0.02,co_cead26d57e,-0.02
,건설업,종합 건설업,경상북도,성주군,최우수,0.33,0.0,co_94795ea922,0.33
,건설업,전문직별 공사업,경상북도,경산시,우수,0.0,0.05,co_cc667d1861,-0.05
,건설업,전문직별 공사업,경상북도,구미시,최우수,0.12,0.0,co_f999b11ebe,0.12
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.07,co_a8f8c012d3,-0.07
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.04,co_56de6f81fb,-0.04
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.06,co_39aea943e6,-0.06
,건설업,전문직별 공사업,대구광역시,북구,우수,0.0,0.01,co_159bbedaf1,-0.01
,건설업,전문직별 공사업,대구광역시,중구,최우수,0.0,0.04,co_868612829c,-0.04
,건설업,전문직별 공사업,서울특별시,서초구,우수,0.0,0.11,co_ad16fe0869,-0.11
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.07,co_456be85fe8,-0.07
,건설업,종합 건설업,대구광역시,남구,최우수,0.0,0.05,co_cead26d57e,-0.05
,건설업,종합 건설업,대구광역시,중구,최우수,0.0,0.62,co_573b2f777e,-0.62
,건설업,전문직별 공사업,대구광역시,중구,최우수,0.0,0.01,co_868612829c,-0.01
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.04,co_56de6f81fb,-0.04
,건설업,전문직별 공사업,경상북도,구미시,일반,0.0,0.01,co_6d9fe1822d,-0.01
,건설업,종합 건설업,대구광역시,남구,최우수,0.0,0.03,co_cead26d57e,-0.03
,건설업,종합 건설업,대구광역시,북구,우수,0.0,0.02,co_db48624969,-0.02
,건설업,전문직별 공사업,대구광역시,북구,우수,0.0,0.03,co_159bbedaf1,-0.03
,건설업,전문직별 공사업,경상북도,경산시,우수,0.0,0.01,co_cc667d1861,-0.01
,건설업,종합 건설업,경상북도,경주시,최우수,0.0,0.01,co_1040e34f2e,-0.01
,건설업,전문직별 공사업,서울특별시,서초구,우수,0.0,0.54,co_ad16fe0869,-0.54
,건설업,전문직별 공사업,서울특별시,강남구,최우수,0.0,0.92,co_8eada16556,-0.92
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.21,co_a8f8c012d3,-0.21
,건설업,전문직별 공사업,서울특별시,강남구,우수,0.0,0.01,co_55f17f7cad,-0.01
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.15,co_a8f8c012d3,-0.15
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.04,co_456be85fe8,-0.04
