date,name,country
2025-01-01,New Year's Day,KR
2025-01-29,Korean New Year,KR
2025-01-28,The day preceding Korean New Year,KR
2025-01-30,The second day of Korean New Year,KR
2025-03-01,Independence Movement Day,KR
2025-05-05,Buddha's Birthday; Children's Day,KR
2025-06-06,Memorial Day,KR
2025-08-15,Liberation Day,KR
2025-10-03,National Foundation Day,KR
2025-10-09,Hangul Day,KR
2025-10-06,Chuseok,KR
2025-10-05,The day preceding Chuseok,KR
2025-10-07,The second day of Chuseok,KR
2025-12-25,Christmas Day,KR
2025-03-03,Alternative holiday for Independence Movement Day,KR
2025-05-06,Alternative holiday for Buddha's Birthday; Alternative holiday for Children's Day,KR
2025-10-08,Alternative holiday for Chuseok,KR
2025-01-27,Temporary Public Holiday,KR
2025-06-03,Presidential Election Day,KR
