date,name,country
2021-01-01,New Year's Day,US
2021-12-31,New Year's Day (observed),US
2021-05-31,Memorial Day,US
2021-06-19,Juneteenth National Independence Day,US
2021-06-18,Juneteenth National Independence Day (observed),US
2021-07-04,Independence Day,US
2021-07-05,Independence Day (observed),US
2021-09-06,Labor Day,US
2021-11-11,Veterans Day,US
2021-11-25,Thanksgiving Day,US
2021-12-25,Christmas Day,US
2021-12-24,Christmas Day (observed),US
2021-01-18,Martin Luther King Jr. Day,US
2021-02-15,Washington's Birthday,US
2021-10-11,Columbus Day,US
