company_id,month,net_exposure,hedge_ratio,unhedged_exposure,var_95_percent,var_99_percent,es_95_percent,es_99_percent,var_95_amount,var_99_amount,es_95_amount,es_99_amount,historical_volatility_pct,worst_case_pnl,best_case_pnl,pnl_range,risk_rating,exposure_size_category,pnl_crash_1pct,pnl_crash_5pct,pnl_surge_95pct,pnl_surge_99pct
1,2022-01-31,810000,0.5,405000,-0.611,-0.942,-0.886,-1.059,2473.23,3813.25,3590,4287.66,7.37,-3813.25,4039.89,7853.14,Very Low,S,-3813.25,-2473.23,2575.79,4039.89
1,2022-02-28,650000,0.5,325000,-0.611,-0.942,-0.886,-1.059,1984.69,3060.02,2880.86,3440.72,7.37,-3060.02,3241.89,6301.91,Very Low,S,-3060.02,-1984.69,2066.99,3241.89
1,2022-03-31,920000,0.5,460000,-0.611,-0.942,-0.886,-1.059,2809.1,4331.1,4077.53,4869.94,7.37,-4331.1,4588.52,8919.62,Very Low,S,-4331.1,-2809.1,2925.59,4588.52
1,2022-04-30,850000,0.5,425000,-0.611,-0.942,-0.886,-1.059,2595.36,4001.56,3767.28,4499.4,7.37,-4001.56,4239.39,8240.95,Very Low,S,-4001.56,-2595.36,2702.99,4239.39
1,2022-05-31,940000,0.5,470000,-0.611,-0.942,-0.886,-1.059,2870.16,4425.25,4166.17,4975.81,7.37,-4425.25,4688.27,9113.53,Very Low,S,-4425.25,-2870.16,2989.19,4688.27
1,2022-06-30,210000,0.5,105000,-0.611,-0.942,-0.886,-1.059,641.21,988.62,930.74,1111.62,7.37,-988.62,1047.38,2036,Very Low,XS,-988.62,-641.21,667.8,1047.38
1,2022-08-31,550000,0.5,275000,-0.611,-0.942,-0.886,-1.059,1679.35,2589.24,2437.65,2911.38,7.37,-2589.24,2743.14,5332.38,Very Low,S,-2589.24,-1679.35,1748.99,2743.14
1,2022-09-30,500000,0.5,250000,-0.611,-0.942,-0.886,-1.059,1526.68,2353.86,2216.05,2646.7,7.37,-2353.86,2493.76,4847.62,Very Low,S,-2353.86,-1526.68,1589.99,2493.76
1,2022-10-31,2300000,0.8,460000,-0.611,-0.942,-0.886,-1.059,2809.1,4331.1,4077.53,4869.94,7.37,-4331.1,4588.52,8919.62,Very Low,M,-4331.1,-2809.1,2925.59,4588.52
1,2022-11-30,350000,0.5,175000,-0.611,-0.942,-0.886,-1.059,1068.68,1647.7,1551.23,1852.69,7.37,-1647.7,1745.63,3393.33,Very Low,XS,-1647.7,-1068.68,1113,1745.63
