month,company_id,export_amt,import_amt,net_exposure,hedge_ratio,policy_version
2022-01-31,1,810000.0,0.0,810000.0,0.5,ML_enhanced
2022-02-28,1,650000.0,0.0,650000.0,0.5,ML_enhanced
2022-03-31,1,920000.0,0.0,920000.0,0.5,ML_enhanced
2022-04-30,1,850000.0,0.0,850000.0,0.5,ML_enhanced
2022-05-31,1,940000.0,0.0,940000.0,0.5,ML_enhanced
2022-06-30,1,210000.0,0.0,210000.0,0.5,ML_enhanced
2022-07-31,1,0.0,0.0,0.0,0.0,ML_enhanced
2022-08-31,1,550000.0,0.0,550000.0,0.5,ML_enhanced
2022-09-30,1,500000.0,0.0,500000.0,0.5,ML_enhanced
2022-10-31,1,2300000.0,0.0,2300000.0,0.8,ML_enhanced
2022-11-30,1,350000.0,0.0,350000.0,0.5,ML_enhanced
2022-12-31,1,360000.0,0.0,360000.0,0.5,ML_enhanced
2023-01-31,1,570000.0,0.0,570000.0,0.5,ML_enhanced
2023-02-28,1,610000.0,0.0,610000.0,0.5,ML_enhanced
2023-03-31,1,350000.0,0.0,350000.0,0.5,ML_enhanced
2023-04-30,1,5800000.0,0.0,5800000.0,0.8,ML_enhanced
2022-01-31,2,90000.0,0.0,90000.0,0.3,ML_enhanced
2022-01-31,3,0.0,360000.0,-360000.0,0.5,ML_enhanced
2022-02-28,3,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-03-31,3,0.0,70000.0,-70000.0,0.3,ML_enhanced
2022-04-30,3,0.0,170000.0,-170000.0,0.5,ML_enhanced
2022-05-31,3,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-01-31,4,0.0,40000.0,-40000.0,0.3,ML_enhanced
2022-02-28,4,150000.0,60000.0,90000.0,0.3,ML_enhanced
2022-03-31,4,20000.0,50000.0,-30000.0,0.3,ML_enhanced
2022-04-30,4,70000.0,100000.0,-30000.0,0.3,ML_enhanced
2022-05-31,4,30000.0,0.0,30000.0,0.3,ML_enhanced
2022-06-30,4,0.0,0.0,0.0,0.0,ML_enhanced
2022-07-31,4,0.0,0.0,0.0,0.0,ML_enhanced
2022-08-31,4,0.0,0.0,0.0,0.0,ML_enhanced
2022-09-30,4,30000.0,0.0,30000.0,0.3,ML_enhanced
2022-10-31,4,0.0,50000.0,-50000.0,0.3,ML_enhanced
2022-11-30,4,30000.0,50000.0,-20000.0,0.3,ML_enhanced
2022-12-31,4,60000.0,0.0,60000.0,0.3,ML_enhanced
2023-01-31,4,0.0,0.0,0.0,0.0,ML_enhanced
2023-02-28,4,130000.0,0.0,130000.0,0.5,ML_enhanced
2023-03-31,4,0.0,50000.0,-50000.0,0.3,ML_enhanced
2023-04-30,4,30000.0,10000.0,20000.0,0.3,ML_enhanced
2023-05-31,4,0.0,50000.0,-50000.0,0.3,ML_enhanced
2023-06-30,4,0.0,0.0,0.0,0.0,ML_enhanced
2023-07-31,4,0.0,50000.0,-50000.0,0.3,ML_enhanced
2023-08-31,4,0.0,0.0,0.0,0.0,ML_enhanced
2023-09-30,4,0.0,0.0,0.0,0.0,ML_enhanced
2023-10-31,4,0.0,0.0,0.0,0.0,ML_enhanced
