company_id,predicted_month,predicted_exposure,current_exposure,exposure_change
1,2023-07-30,830738.3813545718,5800000.0,-4969261.618645428
4,2025-03-31,-34232.431708642136,30000.0,-64232.431708642136
5,2024-10-31,-658650.9550892223,-8100000.0,7441349.044910777
10,2025-03-31,25437.16867889461,50000.0,-24562.83132110539
12,2025-03-31,89586.3310487909,230000.0,-140413.6689512091
13,2025-03-31,15356.697135538003,60000.0,-44643.302864462
14,2023-05-28,-27966.170854428827,-10000.0,-17966.170854428827
15,2024-06-30,45880.733731178305,20000.0,25880.733731178305
19,2024-11-30,-34237.27741169206,-10000.0,-24237.277411692063
23,2025-02-28,-28780.137471850583,-10000.0,-18780.137471850583
24,2025-01-31,23655.0679944906,80000.0,-56344.9320055094
26,2024-11-30,-28950.33044427936,-30000.0,1049.6695557206403
28,2023-06-30,458118.44908073987,20000.0,438118.44908073987
30,2025-03-31,-32943.10844945508,-200000.0,167056.8915505449
31,2023-07-30,-25373.877755999467,-10000.0,-15373.877755999467
32,2025-02-28,-198749.78669745938,-70000.0,-128749.78669745938
33,2024-08-31,147028.18717301168,10000.0,137028.18717301168
34,2024-09-30,-18909.97815487648,-20000.0,1090.0218451235196
35,2023-07-30,-507639.2536787032,-520000.0,12360.746321296785
37,2024-12-30,-20151.77266146129,-10000.0,-10151.772661461291
52,2023-08-31,-30757.273486072118,-40000.0,9242.726513927882
59,2023-12-30,246212.3738806796,170000.0,76212.3738806796
61,2025-03-31,-26954.75066808403,-10000.0,-16954.75066808403
62,2025-03-31,109272.17917300836,360000.0,-250727.82082699164
69,2023-10-31,257804.82377517413,270000.0,-12195.176224825875
72,2023-03-31,-30478.074020187647,-20000.0,-10478.074020187647
75,2025-03-31,2076797.2144650286,3300000.0,-1223202.7855349714
76,2025-03-31,726953.7870109477,910000.0,-183046.2129890523
77,2025-03-31,-148652.84207936018,-110000.0,-38652.84207936018
79,2023-07-30,-80018.12450854632,-80000.0,-18.124508546316065
87,2023-06-30,-52729.93615565306,10000.0,-62729.93615565306
89,2023-05-28,-57377.5537801479,-70000.0,12622.4462198521
90,2025-01-31,33296.05088729681,10000.0,23296.050887296813
91,2025-03-31,172889.46916111364,240000.0,-67110.53083888636
92,2024-11-30,328396.3942278351,540000.0,-211603.60577216488
96,2025-03-31,-29265.677655115145,-40000.0,10734.322344884855
103,2024-08-31,-34680.04856244147,-50000.0,15319.951437558528
107,2023-12-30,881073.7738727332,780000.0,101073.77387273323
108,2025-03-31,52711.57236958565,70000.0,-17288.42763041435
109,2024-04-30,-64004.557972182956,-90000.0,25995.442027817044
111,2025-03-31,256179.27405002044,2200000.0,-1943820.7259499796
121,2024-12-30,-62948.8006579641,-20000.0,-42948.8006579641
122,2025-03-31,14114.55504903905,-50000.0,64114.55504903905
123,2025-02-28,-27663.851660501656,-10000.0,-17663.851660501656
126,2025-03-31,-25694.0034962982,-10000.0,-15694.003496298199
127,2025-02-28,-31805.871552850982,-80000.0,48194.12844714902
128,2025-03-31,-84945.12347347994,-130000.0,45054.87652652006
129,2023-07-30,655612.9141284674,1000000.0,-344387.08587153256
130,2024-07-30,-33327.083237139814,-10000.0,-23327.083237139814
131,2025-02-28,38203.06147588127,40000.0,-1796.9385241187265
132,2024-12-30,-14140.28754897613,-10000.0,-4140.28754897613
133,2024-02-29,-24674.86332441241,-10000.0,-14674.86332441241
